,South-Dinajpur_temp,Howrah_temp,Purulia_temp,Murshidabad_temp,Hooghly_temp,Medinipur_temp,Malda_temp,Jalpaiguri_temp,Birbhum_temp,North-24-Parganas_temp,North-Dinajpur_temp,Kolkata_temp,Bankura_temp,Darjeeling_temp,Nadia_temp,Burdwan_temp,Kochbihar_temp,South-24-Parganas_temp
0,0.018627450980392177,0.01696078431372546,0.014294117647058843,0.019500000000000007,0.017294117647058852,0.014852941176470593,0.018254901960784314,0.01609803921568627,0.01844117647058824,0.017176470588235317,0.01611764705882355,0.01762745098039214,0.015274509803921567,0.011892156862745107,0.01894117647058822,0.01748039215686272,0.01805882352941177,0.013715686274509814
1,0.014715686274509816,0.01483333333333335,0.015009803921568615,0.014264705882352924,0.014696078431372536,0.014676470588235293,0.01463725490196077,0.015960784313725492,0.014156862745098064,0.014274509803921599,0.014235294117647075,0.014705882352941176,0.014294117647058843,0.014803921568627431,0.014774509803921582,0.014254901960784286,0.016421568627450988,0.011764705882352934
2,0.012764705882352937,0.010539215686274504,0.013578431372549035,0.012705882352941171,0.01098039215686272,0.010911764705882348,0.012745098039215693,0.013833333333333347,0.012343137254901965,0.011029411764705883,0.013794117647058823,0.010764705882352931,0.012000000000000002,0.013637254901960803,0.01272549019607845,0.012098039215686257,0.013833333333333347,0.008411764705882323
3,-0.008813725490196087,-0.011441176470588251,-0.0059607843137254955,-0.009686274509803918,-0.011225490196078427,-0.009950980392156868,-0.008715686274509797,-0.007862745098039211,-0.00923529411764706,-0.01061764705882355,-0.008401960784313718,-0.011764705882352934,-0.008823529411764692,-0.006980392156862743,-0.010019607843137275,-0.009990196078431357,-0.007950980392156862,-0.009598039215686301
4,0.007950980392156862,0.0025196078431372693,0.007931372549019653,0.007147058823529439,0.0034901960784313887,0.0027450980392156976,0.008921568627450981,0.002833333333333313,0.007431372549019634,0.002000000000000006,0.007950980392156862,0.002911764705882359,0.005666666666666696,0.0008431372549019463,0.004852941176470598,0.005578431372549011,0.005735294117647032,0.0008921568627451086
5,-0.002833333333333313,-0.011205882352941184,-0.012323529411764685,-0.005352941176470582,-0.010313725490196074,-0.01416666666666667,-0.0023725490196078516,-0.0010196078431372472,-0.006009803921568623,-0.009588235294117661,-0.0012941176470588028,-0.009833333333333335,-0.011019607843137278,-0.00057843137254903,-0.007941176470588222,-0.008401960784313753,-0.0018627450980392283,-0.009205882352941177
6,0.008813725490196087,0.0007941176470588187,0.0039803921568627686,0.006813725490196081,0.0017156862745098108,0.0011764705882353038,0.009107843137254887,0.006872549019607813,0.0065882352941176526,0.0007549019607843308,0.0077647058823529565,0.0009705882352941196,0.0036274509803921667,0.005607843137254894,0.003715686274509817,0.004068627450980419,0.0077156862745097945,5.882352941176694e-05
7,0.0008725490196078298,-0.0027450980392156976,-0.00019607843137254484,-0.0008431372549019811,-0.0023921568627450957,-0.0023333333333333288,0.0,-0.0006274509803921574,-0.00042156862745100797,-0.0027450980392156625,9.803921568639433e-06,-0.002941176470588242,-0.0015098039215686266,-0.0004803921568627401,-0.0015294117647058707,-0.0013529411764705698,0.00027450980392159063,-0.0024215686274509794
8,0.0030490196078431365,-0.0018431372549019493,0.0007352941176470519,0.0016862745098039273,-0.0017549019607843337,-0.0013529411764705698,0.003696078431372538,0.003196078431372554,0.001774509803921543,-0.0024019607843137353,0.0036078431372549226,-0.0019411764705882391,9.803921568604602e-06,0.0020588235294117384,-1.9607843137244033e-05,0.00020588235294118429,0.0039215686274509665,-0.0014901960784313478
9,-0.0010784313725490141,-0.004117647058823546,-0.004852941176470598,-0.002931372549019603,-0.004274509803921568,-0.004558823529411764,-0.0024607843137255023,-0.0014411764705882203,-0.0033725490196078547,-0.003813725490196072,-0.0019313725490195997,-0.0039215686274509665,-0.004970588235294097,-0.003029411764705893,-0.0034803921568627495,-0.003980392156862733,-0.0009901960784313984,-0.003196078431372554
10,0.011774509803921574,0.00850000000000001,0.008715686274509797,0.010549019607843142,0.00866666666666667,0.0073333333333333445,0.011431372549019611,0.013794117647058823,0.010147058823529414,0.00818627450980393,0.012019607843137246,0.008823529411764692,0.008421568627450964,0.013039215686274494,0.009450980392156885,0.009382352941176477,0.013588235294117639,0.006911764705882336
11,0.01777450980392156,0.009950980392156868,0.01834313725490195,0.015843137254901957,0.010892156862745105,0.011470588235294135,0.0187843137254902,0.017176470588235317,0.017284313725490177,0.008588235294117624,0.019333333333333345,0.009784313725490207,0.01569607843137254,0.017666666666666664,0.01183333333333334,0.01444117647058826,0.016617647058823532,0.006950980392156859
